id_estudiante,carrera,semestre,turno,edad,genero,promedio_anterior,porcentaje_asistencia,materias_reprobadas_previas,creditos_inscritos,participa_tutorias,beca,trabaja,horas_trabajo_semana,distancia_km,acceso_internet,uso_plataforma_semana,entregas_tareas_pct,reinscripcion_tardia,indice_socioeconomico,riesgo_academico,deserto,reprobo
EST00001,Ingeniería Industrial,1,Vespertino,20,F,80.0,88.0,1,35,No,Sí,Medio tiempo,27,12.3,Sí,7,60.4,Sí,1,Bajo,0,0
EST00002,Licenciatura en Administración,5,Matutino,22,F,77.8,81.7,0,30,Sí,Sí,No trabaja,0,18.9,Sí,4,91.3,No,5,Bajo,0,0
EST00003,Ingeniería en Sistemas Computacionales,4,Vespertino,25,F,71.7,89.0,4,20,No,No,No trabaja,0,7.9,Sí,2,59.1,No,2,Medio,0,0
EST00004,Ingeniería Civil,6,Matutino,22,M,79.0,77.9,0,32,Sí,Sí,No trabaja,0,10.5,No,2,71.8,No,5,Bajo,0,0
EST00005,Ingeniería Civil,3,Vespertino,21,F,86.1,87.8,6,34,Sí,Sí,No trabaja,0,10.0,Sí,10,79.1,No,5,Bajo,0,0
EST00006,Licenciatura en Administración,2,Vespertino,18,M,78.8,66.4,0,34,No,No,Tiempo completo,35,11.6,Sí,9,71.2,No,3,Medio,0,1
EST00007,Ingeniería en Sistemas Computacionales,4,Matutino,23,F,76.5,72.8,5,35,No,No,Tiempo completo,47,12.5,Sí,11,75.7,No,4,Alto,1,1
EST00008,Ingeniería Industrial,4,Matutino,21,F,77.8,85.0,1,26,No,Sí,Medio tiempo,10,9.5,Sí,3,43.4,No,2,Medio,0,0
EST00009,Contador Público,4,Matutino,23,M,87.3,90.0,0,24,Sí,No,No trabaja,0,12.6,Sí,10,72.0,No,1,Bajo,0,0
EST00010,Ingeniería Industrial,1,Matutino,25,F,82.4,80.5,0,30,Sí,No,No trabaja,0,6.3,Sí,12,84.5,No,4,Bajo,0,0
EST00011,Ingeniería en Gestión Empresarial,3,Matutino,19,F,90.6,100,0,20,No,Sí,Medio tiempo,11,24.1,Sí,8,100,No,5,Bajo,0,0
EST00012,Contador Público,10,Vespertino,24,M,58.0,90.1,4,32,No,No,No trabaja,0,7.4,Sí,9,87.5,No,3,Medio,1,0
EST00013,Ingeniería Industrial,4,Vespertino,20,M,81.8,74.7,0,21,No,Sí,Medio tiempo,26,15.3,Sí,2,64.2,No,3,Medio,0,1
EST00014,Ingeniería en Gestión Empresarial,5,Matutino,23,M,83.1,93.2,2,35,Sí,Sí,No trabaja,0,12.5,Sí,4,56.5,No,3,Bajo,0,1
EST00015,Ingeniería Electromecánica,6,Matutino,23,F,87.1,81.3,0,23,No,No,Medio tiempo,21,6.6,No,12,88.4,No,4,Bajo,0,0
EST00016,Contador Público,4,Vespertino,23,M,59.9,86.2,1,20,No,Sí,Tiempo completo,45,16.8,Sí,4,64.3,No,4,Alto,1,1
EST00017,Ingeniería Electromecánica,3,Vespertino,23,M,62.3,92.7,1,29,No,No,Medio tiempo,20,10.9,No,10,99.2,No,1,Bajo,0,0
EST00018,Ingeniería Electromecánica,7,Vespertino,20,F,69.1,78.4,1,24,No,No,No trabaja,0,11.9,Sí,9,72.3,No,2,Bajo,0,0
EST00019,Ingeniería Mecatrónica,2,Vespertino,17,M,79.0,90.6,0,25,No,No,No trabaja,0,8.2,Sí,9,85.2,No,3,Bajo,0,0
EST00020,Contador Público,8,Vespertino,22,F,58.2,77.3,2,32,No,No,Tiempo completo,33,17.8,Sí,11,84.2,No,5,Medio,1,0
EST00021,Ingeniería en Gestión Empresarial,5,Matutino,22,M,73.8,92.7,0,25,No,No,Medio tiempo,18,4.9,Sí,2,68.5,No,2,Bajo,0,0
EST00022,Contador Público,7,Matutino,24,M,91.5,64.3,0,35,No,No,No trabaja,0,1.0,Sí,14,83.8,No,4,Bajo,1,0
EST00023,Contador Público,3,Vespertino,26,F,80.3,84.7,0,28,Sí,No,Tiempo completo,48,0.8,Sí,14,56.2,No,4,Medio,1,1
EST00024,Ingeniería en Sistemas Computacionales,6,Matutino,19,F,77.3,95.3,4,32,No,Sí,Medio tiempo,17,0.5,Sí,12,69.0,No,2,Medio,0,0
EST00025,Ingeniería Mecatrónica,5,Matutino,17,M,86.0,94.3,1,21,No,No,No trabaja,0,2.5,Sí,11,73.5,No,2,Bajo,0,0
EST00026,Contador Público,8,Matutino,20,M,62.9,69.1,4,31,No,Sí,Medio tiempo,23,11.3,Sí,9,78.8,No,3,Alto,1,0
EST00027,Ingeniería Civil,8,Vespertino,21,M,75.8,97.2,3,35,Sí,Sí,No trabaja,0,15.0,Sí,3,88.3,No,3,Bajo,0,0
EST00028,Ingeniería en Gestión Empresarial,8,Matutino,24,F,61.1,100,2,32,Sí,No,No trabaja,0,11.3,Sí,4,84.7,No,5,Medio,0,0
EST00029,Ingeniería Mecatrónica,4,Matutino,21,M,83.7,73.3,1,22,No,Sí,Tiempo completo,36,4.2,Sí,12,46.6,No,3,Medio,0,1
EST00030,Ingeniería en Sistemas Computacionales,5,Vespertino,22,M,84.9,61.4,0,35,No,No,No trabaja,0,10.4,Sí,9,66.0,No,2,Bajo,0,0
EST00031,Ingeniería Electromecánica,10,Vespertino,22,F,75.7,75.0,0,25,Sí,No,Tiempo completo,36,16.9,Sí,4,69.7,No,1,Bajo,0,0
EST00032,Ingeniería Civil,7,Matutino,19,M,77.9,71.0,0,21,No,Sí,Medio tiempo,12,6.6,Sí,4,71.6,No,5,Bajo,0,1
EST00033,Ingeniería en Sistemas Computacionales,7,Vespertino,22,F,59.6,67.5,1,23,No,No,Tiempo completo,48,8.2,Sí,6,67.6,No,3,Medio,1,0
EST00034,Ingeniería Mecatrónica,6,Vespertino,21,M,67.4,100,0,35,No,Sí,Medio tiempo,27,4.4,Sí,0,71.5,No,3,Bajo,0,1
EST00035,Ingeniería Mecatrónica,5,Vespertino,23,F,60.6,74.3,1,33,No,No,Tiempo completo,37,4.3,Sí,4,62.0,No,1,Alto,1,1
EST00036,Contador Público,4,Matutino,22,M,73.1,92.2,6,33,No,No,No trabaja,0,5.4,Sí,7,69.5,No,1,Medio,0,1
EST00037,Licenciatura en Administración,4,Matutino,19,M,68.0,93.7,3,33,No,No,No trabaja,0,7.1,Sí,2,46.6,No,4,Medio,0,0
EST00038,Ingeniería en Gestión Empresarial,1,Matutino,17,F,73.4,70.4,3,35,No,No,No trabaja,0,13.7,Sí,5,61.5,No,5,Medio,0,0
EST00039,Ingeniería Civil,5,Matutino,21,F,91.2,89.1,0,22,Sí,No,Medio tiempo,13,2.6,Sí,12,78.3,No,1,Bajo,0,0
EST00040,Ingeniería Civil,8,Matutino,23,M,75.7,73.5,0,36,Sí,Sí,No trabaja,0,17.5,Sí,6,76.3,No,3,Bajo,0,0
EST00041,Ingeniería Industrial,4,Vespertino,18,M,61.5,77.9,2,27,No,No,No trabaja,0,5.6,Sí,3,57.4,No,1,Medio,0,0
